time,Voltage (V)
1574183012.4234564,2.818037
1574183013.8119938,2.817796
1574183015.1920419,2.8176041
1574183016.5580897,2.817387
1574183017.9243155,2.8171687
1574183019.2898002,2.8169566
1574183020.6570234,2.8167433
1574183022.023724,2.8165376
1574183023.3905752,2.8163255
1574183024.7557828,2.816121
1574183026.1233826,2.8158964
1574183027.4883447,2.8157108
1574183028.8694546,2.8154988
1574183030.2498858,2.815293
1574183031.6156256,2.8150936
1574183032.9816644,2.8148803
1574183034.3476703,2.8146657
1574183035.7131479,2.8144701
1574183037.0807319,2.8142606
1574183038.4470837,2.8140409
1574183039.8152092,2.8138377
1574183041.180254,2.8136421
1574183042.5477784,2.8134465
1574183043.914443,2.8132344
1574183045.2793107,2.8130451
1574183046.646979,2.8128318
1574183048.0155838,2.812626
1574183049.3820007,2.8124203
1574183050.747934,2.8122385
1574183052.1148396,2.8120606
1574183053.481691,2.8118523
1574183054.8480518,2.811663
1574183056.2129138,2.8114724
1574183057.5780325,2.8112742
1574183058.9458783,2.8110887
1574183060.3110318,2.8109031
1574183061.6788683,2.8106924
1574183063.0455914,2.8105068
1574183064.4149113,2.8103137
1574183065.782089,2.8101231
1574183067.1494918,2.8099502
1574183068.5157902,2.8097495
1574183069.8834615,2.8095791
1574183071.2486799,2.8093872
1574183072.6157882,2.8091765
1574183073.9906762,2.809001
1574183075.3581228,2.808823
1574183076.725358,2.8086236
1574183078.0928621,2.8084469
1574183079.4584565,2.8082626
1574183080.8263617,2.8080847
1574183082.193849,2.8079004
1574183083.5592792,2.8077237
1574183084.9261944,2.8075444
1574183086.2934873,2.8073627
1574183087.6592574,2.8071772
1574183089.024556,2.807003
1574183090.3912697,2.8068263
1574183091.7600443,2.8066685
1574183093.1282618,2.8064918
1574183094.494951,2.8063163
1574183095.862285,2.8061232
1574183097.230296,2.8059591
1574183098.595675,2.8057887
1574183099.962382,2.8056171
1574183101.328438,2.8054429
1574183102.706383,2.805275
1574183104.072193,2.8051185
1574183105.4376473,2.8049481
1574183106.803611,2.8047714
1574183108.1713543,2.8046212
1574183109.5372224,2.8044357
1574183110.9029894,2.8042703
1574183112.2690806,2.8041075
1574183113.6355205,2.8039459
1574183115.003793,2.8037806
1574183116.3696814,2.8036279
1574183117.7366238,2.8034777
1574183119.1046515,2.803306
1574183120.471686,2.8031243
1574183121.837593,2.8029703
1574183123.2036006,2.8027923
1574183124.5695877,2.8026219
1574183125.935335,2.8024641
1574183127.301169,2.8023101
1574183128.667414,2.8021587
1574183130.0331597,2.8020034
1574183131.423868,2.801852
1574183132.7968864,2.8017081
1574183134.164146,2.801544
1574183135.5328524,2.8014014
1574183136.8997169,2.8012461
1574183138.265798,2.8010745
1574183139.6326928,2.8009356
1574183141.0005233,2.8007842
1574183142.3658578,2.8006188
1574183143.732803,2.8004737
1574183145.0982022,2.8003121
1574183146.4640377,2.8001594
1574183147.8312547,2.8000066
1574183149.1984656,2.7998463
1574183150.5633047,2.7996848
1574183151.9309783,2.7995346
1574183153.297952,2.799373
1574183154.6659904,2.7992367
1574183156.0332775,2.7990802
1574183157.3995566,2.79893
1574183158.7759123,2.7987899
1574183160.1437376,2.7986548
1574183161.5194497,2.7984983
1574183162.8882098,2.7983469
1574183164.2553284,2.7982105
1574183165.621331,2.7980654
1574183166.98622,2.7979228
1574183168.3528993,2.797789
1574183169.7202225,2.7976426
1574183171.087611,2.7974835
1574183172.4540536,2.7973712
1574183173.8314486,2.7972336
1574183175.1990273,2.7970935
1574183176.5662346,2.7969458
1574183177.934242,2.7968045
1574183179.2991982,2.7966757
1574183180.6666126,2.7965331
1574183182.0328603,2.7963968
1574183183.3986433,2.796263
1574183184.765734,2.7961115
1574183186.1352873,2.7959802
1574183187.5025332,2.7958427
1574183188.869709,2.7957303
1574183190.2380207,2.7955991
1574183191.6049066,2.7954754
1574183192.9719365,2.795329
1574183194.3474166,2.7951977
1574183195.7144654,2.795074
1574183197.0804155,2.7949528
1574183198.446246,2.7948039
1574183199.8136277,2.7946777
1574183201.1806686,2.7945401
1574183202.5480971,2.7944113
1574183203.9157145,2.7942763
1574183205.283708,2.7941438
1574183206.6488512,2.794015
1574183208.016642,2.7938825
1574183209.3838756,2.7937676
1574183210.750888,2.7936401
1574183212.1168294,2.7935114
1574183213.485131,2.7934003
1574183214.8517253,2.7932716
1574183216.220802,2.7931252
1574183217.5887809,2.7930091
1574183218.9561818,2.7928854
1574183220.3223994,2.7927629
1574183221.690641,2.7926556
1574183223.0581994,2.7925168
1574183224.4260118,2.7924045
1574183225.7932005,2.7922959
1574183227.1601422,2.7921659
1574183228.5299957,2.7920422
1574183229.8977652,2.7919021
1574183231.2650368,2.7917948
1574183232.6318705,2.7916749
1574183233.9990208,2.7915613
1574183235.3669627,2.7914591
1574183236.7343507,2.7913354
1574183238.101461,2.7912306
1574183239.4680276,2.7911158
1574183240.8433013,2.790987
1574183242.2102187,2.7908583
1574183243.5785716,2.7907447
1574183244.9445837,2.7906437
1574183246.3106742,2.7905049
1574183247.6988714,2.7904026
1574183249.0661378,2.7902966
1574183250.432092,2.7901792
1574183251.7992864,2.7900555
1574183253.1661248,2.7899571
1574183254.533154,2.7898574
1574183255.9003289,2.7897198
1574183257.2663708,2.78961
1574183258.6313856,2.7894964
1574183259.9993927,2.789384
1574183261.3664522,2.7892868
1574183262.7334666,2.789172
1574183264.1008818,2.7890622
1574183265.4680302,2.7889448
1574183266.8349283,2.7888463
1574183268.2028334,2.7887189
