Time (s),Temp (C)
1576460590.4719725,"-25.0,-25.0,80.0,-40.0
"
1576461130.5456347,"-30.0,-30.0,80.0,-40.0
"
1576461670.6212184,"-30.0,-30.0,80.0,-40.0
"
1576462210.6959617,"-30.0,-30.0,80.0,-40.0
"
1576462750.7700856,"-30.0,-30.0,80.0,-40.0
"
1576463290.8453116,"-30.0,-30.0,80.0,-40.0
"
1576463830.9201884,"-30.0,-30.0,80.0,-40.0
"
1576464371.0077593,"-30.0,-30.0,80.0,-40.0
"
1576464911.0872726,"-30.0,-30.0,80.0,-40.0
"
1576465451.1659644,"-25.0,-25.0,80.0,-40.0
"
1576465991.2458527,"-19.9,-20.0,80.0,-40.0
"
1576466531.3244343,"-15.0,-15.0,80.0,-40.0
"
1576467071.4019115,"-10.0,-10.0,80.0,-40.0
"
1576467611.476605,"-5.0,-5.0,80.0,-40.0
"
1576468151.5505762,"-0.0,0.0,80.0,-40.0
"
1576468691.6275947,"5.1,5.0,80.0,-40.0
"
1576469231.7023668,"10.0,10.0,80.0,-40.0
"
1576469771.7778609,"15.1,15.0,80.0,-40.0
"
1576470311.8626404,"20.1,20.0,80.0,-40.0
"
1576470851.9487028,"25.0,25.0,80.0,-40.0
"
1576471392.0247295,"30.1,30.0,80.0,-40.0
"
1576471932.1021187,"35.1,35.0,80.0,-40.0
"
1576472472.1795788,"40.1,40.0,80.0,-40.0
"
1576473012.254205,"45.0,45.0,80.0,-40.0
"
1576473552.3273182,"50.1,50.0,80.0,-40.0
"
1576474092.4037242,"55.0,55.0,80.0,-40.0
"
1576474632.482145,"60.0,60.0,80.0,-40.0
"
1576475172.5548007,"65.1,65.0,80.0,-40.0
"
1576475712.6279685,"70.1,70.0,80.0,-40.0
"
1576476252.7009964,"70.0,70.0,80.0,-40.0
"
1576476792.7720351,"70.0,70.0,80.0,-40.0
"
1576477332.843574,"70.0,70.0,80.0,-40.0
"
1576477872.9147942,"70.0,70.0,80.0,-40.0
"
1576478412.986303,"70.0,70.0,80.0,-40.0
"
1576478953.0626004,"70.0,70.0,80.0,-40.0
"
1576479493.1390254,"70.0,70.0,80.0,-40.0
"
1576480033.2149446,"65.1,65.0,80.0,-40.0
"
1576480573.2946076,"60.1,60.0,80.0,-40.0
"
1576481113.3714285,"55.1,55.0,80.0,-40.0
"
1576481653.4477909,"50.1,50.0,80.0,-40.0
"
1576482193.5259194,"45.1,45.0,80.0,-40.0
"
1576482733.6026065,"40.1,40.0,80.0,-40.0
"
1576483273.6805537,"35.1,35.0,80.0,-40.0
"
1576483813.7581635,"30.1,30.0,80.0,-40.0
"
1576484353.8355677,"24.9,25.0,80.0,-40.0
"
1576484893.911578,"20.0,20.0,80.0,-40.0
"
1576485433.9976194,"15.1,15.0,80.0,-40.0
"
1576485974.0721352,"10.0,10.0,80.0,-40.0
"
1576486514.145977,"5.1,5.0,80.0,-40.0
"
1576487054.2217836,"-0.0,0.0,80.0,-40.0
"
1576487594.299715,"-5.0,-5.0,80.0,-40.0
"
1576488134.378373,"-10.0,-10.0,80.0,-40.0
"
1576488674.4577,"-15.0,-15.0,80.0,-40.0
"
1576489214.5471559,"-20.0,-20.0,80.0,-40.0
"
1576489754.6223454,"-25.0,-25.0,80.0,-40.0
"
1576490294.707602,"-30.0,-30.0,80.0,-40.0
"
1576490834.7831216,"-30.0,-30.0,80.0,-40.0
"
1576491374.8585281,"-30.0,-30.0,80.0,-40.0
"
1576491914.9340901,"-30.0,-30.0,80.0,-40.0
"
1576492455.0075793,"-30.0,-30.0,80.0,-40.0
"
1576492995.082976,"-30.0,-30.0,80.0,-40.0
"
1576493535.161875,"-30.1,-30.0,80.0,-40.0
"
1576494075.2412667,"-30.0,-30.0,80.0,-40.0
"
1576494615.3215506,"-24.9,-25.0,80.0,-40.0
"
1576495155.3998294,"-19.9,-20.0,80.0,-40.0
"
1576495695.4793415,"-14.9,-15.0,80.0,-40.0
"
1576496235.5714507,"-10.0,-10.0,80.0,-40.0
"
1576496775.6465566,"-5.0,-5.0,80.0,-40.0
"
1576497315.7219398,"-0.0,0.0,80.0,-40.0
"
1576497855.7984126,"5.1,5.0,80.0,-40.0
"
1576498395.8757882,"10.1,10.0,80.0,-40.0
"
1576498935.954153,"15.1,15.0,80.0,-40.0
"
1576499476.0300837,"20.1,20.0,80.0,-40.0
"
1576500016.107583,"25.1,25.0,80.0,-40.0
"
1576500556.1838028,"30.1,30.0,80.0,-40.0
"
1576501096.2615921,"35.1,35.0,80.0,-40.0
"
1576501636.3389878,"40.1,40.0,80.0,-40.0
"
1576502176.414006,"45.0,45.0,80.0,-40.0
"
1576502716.4903476,"50.0,50.0,80.0,-40.0
"
1576503256.567754,"55.0,55.0,80.0,-40.0
"
1576503796.6435728,"60.1,60.0,80.0,-40.0
"
1576504336.7196853,"65.1,65.0,80.0,-40.0
"
1576504876.7911332,"70.1,70.0,80.0,-40.0
"
1576505416.8622315,"70.0,70.0,80.0,-40.0
"
1576505956.9347858,"70.0,70.0,80.0,-40.0
"
1576506497.0075886,"70.0,70.0,80.0,-40.0
"
