time,Voltage (V),Current (A)
1574280030.3738387,3.1380387,0.15
1574280031.7632756,3.1379643,0.151
1574280033.1649215,3.1378885,0.15
1574280034.5523007,3.1378242,0.15
1574280035.9639761,3.1377648,0.15
1574280037.3414092,3.1376904,0.15
1574280038.7449262,3.1376399,0.151
1574280040.122294,3.1375742,0.15
1574280041.5343344,3.137501,0.15
1574280042.9121335,3.1374644,0.15
1574280044.3258197,3.1373887,0.151
1574280045.7029788,3.1373104,0.15
1574280047.116102,3.137236,0.151
1574280048.6067028,3.1372133,0.151
1574280049.983909,3.1371337,0.15
1574280051.3609326,3.1370858,0.151
1574280052.739497,3.1370189,0.15
1574280054.1287456,3.1369633,0.15
1574280055.515144,3.1369141,0.151
1574280056.8945525,3.1368409,0.15
1574280058.2779722,3.1367778,0.151
1574280059.6556196,3.1367399,0.15
1574280061.066162,3.1366806,0.151
1574280062.4432108,3.136639,0.151
1574280063.8571513,3.1365948,0.151
1574280065.233148,3.1365342,0.151
1574280066.6471784,3.1364623,0.151
1574280068.0247593,3.1364181,0.15
1574280069.4382925,3.1363764,0.15
1574280070.814978,3.1362906,0.151
1574280072.2277296,3.1362376,0.151
1574280073.6039279,3.1361909,0.151
1574280075.01773,3.1361353,0.151
1574280076.3944588,3.1360621,0.15
1574280077.8074365,3.1360028,0.15
1574280079.1843328,3.1359397,0.15
1574280080.6000476,3.1359119,0.15
1574280081.9778578,3.135864,0.15
1574280083.3950002,3.1358072,0.15
1574280084.7713587,3.135739,0.15
1574280086.1791425,3.1356974,0.151
1574280087.5623934,3.1356545,0.151
1574280088.9646692,3.1356027,0.15
1574280090.3425932,3.1355434,0.15
1574280091.7594612,3.1354954,0.151
1574280093.139977,3.1354487,0.151
1574280094.5502133,3.1353818,0.15
1574280095.9279714,3.1353389,0.15
1574280097.3397691,3.1353036,0.151
1574280098.7174451,3.1352354,0.151
1574280100.1297987,3.1351862,0.151
1574280101.5072393,3.1351319,0.151
1574280102.9165506,3.1350764,0.151
1574280104.2938104,3.1350069,0.151
1574280105.7099657,3.1349287,0.151
1574280107.1116548,3.1349262,0.151
1574280108.5016327,3.1348807,0.15
1574280109.8789303,3.134834,0.151
1574280111.292219,3.1347999,0.151
1574280112.701261,3.134752,0.15
1574280114.0822942,3.1347078,0.15
1574280115.4608576,3.1346636,0.15
1574280116.8720548,3.1346005,0.15
1574280118.2493055,3.1345374,0.15
1574280119.6788158,3.1345096,0.151
1574280121.0692575,3.1344667,0.151
1574280122.4525416,3.1343973,0.15
1574280123.8284838,3.134338,0.15
1574280125.2412183,3.1343077,0.151
1574280126.6188557,3.1342484,0.151
1574280128.0327709,3.1342017,0.15
1574280129.4205623,3.1341663,0.151
1574280130.8377979,3.1341146,0.151
1574280132.2155037,3.1340679,0.15
1574280133.6133978,3.1340376,0.15
1574280135.0036454,3.1339972,0.15
1574280136.4035804,3.1339353,0.151
1574280137.7909548,3.1338962,0.15
1574280139.207485,3.1338457,0.151
1574280140.6007683,3.1337952,0.15
1574280141.9834542,3.1337725,0.151
1574280143.3604484,3.133722,0.15
1574280144.7746503,3.133688,0.151
1574280146.1586912,3.1336299,0.151
1574280147.5772805,3.1335971,0.15
1574280148.9548924,3.1335378,0.15
1574280150.366925,3.1334961,0.15
1574280151.7869227,3.1334696,0.151
1574280153.1802251,3.1334242,0.15
1574280154.5750017,3.1333901,0.15
1574280155.9514868,3.133356,0.15
1574280157.3340673,3.1332967,0.15
1574280158.724467,3.1332538,0.151
1574280160.1161046,3.1332184,0.15
1574280161.5281868,3.133197,0.15
1574280162.9173393,3.1331414,0.151
1574280164.3055904,3.1330947,0.151
1574280165.6979525,3.133043,0.151
1574280167.1075158,3.1329874,0.15
1574280168.498081,3.1329534,0.15
1574280169.945567,3.1329004,0.15
1574280171.3396769,3.1328852,0.151
1574280172.7175899,3.1328448,0.151
1574280174.1111758,3.1328221,0.151
1574280175.5061147,3.1327779,0.15
1574280176.899345,3.1327363,0.15
1574280178.2887657,3.1326719,0.151
1574280179.665805,3.1326618,0.15
1574280181.045988,3.1326429,0.15
1574280182.4234116,3.1325798,0.151
1574280183.8435817,3.1325394,0.15
1574280185.2332275,3.1325015,0.151
1574280186.6272655,3.132475,0.151
1574280188.00502,3.1324157,0.15
1574280189.4175632,3.1323904,0.15
1574280190.795507,3.1323412,0.15
1574280192.2071517,3.1323223,0.15
1574280193.5859518,3.1322958,0.151
1574280195.0083442,3.1322251,0.15
1574280196.3955398,3.1322213,0.151
1574280197.7891083,3.1321582,0.15
1574280199.181771,3.1321367,0.151
1574280200.5822108,3.1320623,0.15
1574280201.9749112,3.1320193,0.151
1574280203.3806376,3.1319916,0.15
1574280204.7628713,3.1319537,0.151
1574280206.1588464,3.1319259,0.15
1574280207.5519247,3.1319007,0.15
1574280208.9650607,3.1318818,0.151
1574280210.3589573,3.1318401,0.15
1574280211.7507944,3.1317959,0.15
1574280213.1376448,3.1317997,0.15
1574280214.5390823,3.1317631,0.151
1574280215.9267974,3.1317139,0.151
1574280217.3326604,3.1316596,0.15
1574280218.7181597,3.1316255,0.15
1574280220.1233983,3.1315788,0.151
1574280221.5321522,3.1315549,0.15
1574280222.9111233,3.1315359,0.15
1574280224.3007388,3.1315069,0.15
1574280225.689627,3.1314741,0.15
1574280227.0765278,3.1314577,0.15
1574280228.4926562,3.131416,0.15
1574280229.8831172,3.1313845,0.151
1574280231.2814286,3.1313378,0.151
1574280232.6588697,3.1312961,0.151
1574280234.068005,3.1312721,0.15
1574280235.4609723,3.1312532,0.151
1574280236.8645935,3.1312166,0.15
1574280238.2546341,3.131185,0.15
1574280239.6449292,3.1311648,0.151
1574280241.035906,3.1311282,0.15
1574280242.4315083,3.1310702,0.15
1574280243.808785,3.131074,0.15
1574280245.230729,3.1310134,0.151
1574280246.6095421,3.1309755,0.151
1574280248.0229354,3.1309541,0.151
1574280249.3996568,3.13092,0.15
1574280250.8091419,3.1308632,0.15
1574280252.1990974,3.1308354,0.15
1574280253.5920496,3.1308039,0.151
1574280254.9861226,3.1307559,0.151
1574280256.397252,3.1307168,0.151
1574280257.782027,3.1307054,0.151
1574280259.1868947,3.1306423,0.151
1574280260.5774982,3.1306095,0.15
1574280261.9720674,3.1305868,0.15
1574280263.3639286,3.1305451,0.151
