=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.11.14 13:55:02 =~=~=~=~=~=~=~=~=~=~=~=
BME280 Temp,120586.1030792151, Pressure (%),98.086437, Humidity (%),21.405273, 3_axis_X (m/s2),-2.216064, 3_axis_Y (m/s2),0.267456, 3_axis_Z (m/s2),9.322752, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),486.000000, VOC (ppb),13.000000, 9_axis_accel_X (m/s2),2.265224, 9_axis_accel_Y (m/s2),-0.285246, 9_axis_accel_Z (m/s2),9.762948, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.346875, 9_axis_Geo_Y,0.409375, 9_axis_Geo_Z,0.003125, FG_Voltage,4.096000, FG_Current,0.000000, ALS,739.060000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,119275.-2061584302, Pressure (%),98.087132, Humidity (%),21.467773, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.270000, CO2 (ppm),400.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.258048, 9_axis_accel_Y (m/s2),-0.269100, 9_axis_accel_Z (m/s2),9.777898, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.336250, 9_axis_Geo_Y,0.409375, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,741.080000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,116654.343597384, Pressure (%),98.088007, Humidity (%),21.508789, 3_axis_X (m/s2),-2.216064, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.360960, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),410.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.268812, 9_axis_accel_Y (m/s2),-0.255346, 9_axis_accel_Z (m/s2),9.761154, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.317500, 9_axis_Geo_Y,0.405625, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,742.360000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,112721.-343597384, Pressure (%),98.087140, Humidity (%),21.728515, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),402.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.275988, 9_axis_accel_Y (m/s2),-0.255944, 9_axis_accel_Z (m/s2),9.808396, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.325000, 9_axis_Geo_Y,0.416250, 9_axis_Geo_Z,-0.003125, FG_Voltage,4.096000, FG_Current,0.000000, ALS,741.800000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,111411.858993459, Pressure (%),98.086968, Humidity (%),21.612304, 3_axis_X (m/s2),-2.216064, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),410.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.271204, 9_axis_accel_Y (m/s2),-0.260130, 9_axis_accel_Z (m/s2),9.770722, 9_axis_Gyro_X,-0.001065, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.325000, 9_axis_Geo_Y,0.416250, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,741.159999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,108789.-1030792151, Pressure (%),98.088582, Humidity (%),21.516601, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.267456, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.265000, CO2 (ppm),428.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),2.279576, 9_axis_accel_Y (m/s2),-0.281658, 9_axis_accel_Z (m/s2),9.767134, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.343125, 9_axis_Geo_Y,0.427500, 9_axis_Geo_Z,0.006875, FG_Voltage,4.096000, FG_Current,0.000000, ALS,819.879999, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,107479.171798692, Pressure (%),98.088945, Humidity (%),21.557617, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.264000, CO2 (ppm),407.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.269410, 9_axis_accel_Y (m/s2),-0.280462, 9_axis_accel_Z (m/s2),9.781486, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.325000, 9_axis_Geo_Y,0.412500, 9_axis_Geo_Z,0.000000, FG_Voltage,4.096000, FG_Current,0.000000, ALS,742.120000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,104857.-1717986918, Pressure (%),98.087542, Humidity (%),21.705078, 3_axis_X (m/s2),-2.063232, 3_axis_Y (m/s2),0.114624, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),407.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.271802, 9_axis_accel_Y (m/s2),-0.273286, 9_axis_accel_Z (m/s2),9.785672, 9_axis_Gyro_X,-0.001065, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.343125, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,-0.003125, FG_Voltage,4.096000, FG_Current,0.000000, ALS,740.600000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,103546.-515396076, Pressure (%),98.087738, Humidity (%),21.713867, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.271000, CO2 (ppm),428.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),2.274792, 9_axis_accel_Y (m/s2),-0.268502, 9_axis_accel_Z (m/s2),9.773114, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.009585, 9_axis_Geo_X,0.332500, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,0.000000, FG_Voltage,4.096000, FG_Current,0.000000, ALS,820.700000, TMP103_temp,15.000000, Sensor data pushed
BME280 Temp,102236.687194767, Pressure (%),98.088179, Humidity (%),21.724609, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.267456, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.268000, CO2 (ppm),527.000000, VOC (ppb),19.000000, 9_axis_accel_X (m/s2),2.280174, 9_axis_accel_Y (m/s2),-0.280462, 9_axis_accel_Z (m/s2),9.790456, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,0.000000, FG_Voltage,4.096000, FG_Current,0.000000, ALS,822.860000, TMP103_temp,15.000000, Sensor data pushed
